C:\Users\Dell\Desktop\Self_driving_Data\IMG\center_2019_04_29_09_46_19_792.jpg,C:\Users\Dell\Desktop\Self_driving_Data\IMG\left_2019_04_29_09_46_19_792.jpg,C:\Users\Dell\Desktop\Self_driving_Data\IMG\right_2019_04_29_09_46_19_792.jpg,0,0,0,2.122148E-05
C:\Users\Dell\Desktop\Self_driving_Data\IMG\center_2019_04_29_09_46_19_860.jpg,C:\Users\Dell\Desktop\Self_driving_Data\IMG\left_2019_04_29_09_46_19_860.jpg,C:\Users\Dell\Desktop\Self_driving_Data\IMG\right_2019_04_29_09_46_19_860.jpg,0,0,0,1.323927E-05
C:\Users\Dell\Desktop\Self_driving_Data\IMG\center_2019_04_29_09_46_19_926.jpg,C:\Users\Dell\Desktop\Self_driving_Data\IMG\left_2019_04_29_09_46_19_926.jpg,C:\Users\Dell\Desktop\Self_driving_Data\IMG\right_2019_04_29_09_46_19_926.jpg,0,0,0,7.554207E-06
C:\Users\Dell\Desktop\Self_driving_Data\IMG\center_2019_04_29_09_46_19_995.jpg,C:\Users\Dell\Desktop\Self_driving_Data\IMG\left_2019_04_29_09_46_19_995.jpg,C:\Users\Dell\Desktop\Self_driving_Data\IMG\right_2019_04_29_09_46_19_995.jpg,0,0,0,1.058134E-05
C:\Users\Dell\Desktop\Self_driving_Data\IMG\center_2019_04_29_09_46_20_063.jpg,C:\Users\Dell\Desktop\Self_driving_Data\IMG\left_2019_04_29_09_46_20_063.jpg,C:\Users\Dell\Desktop\Self_driving_Data\IMG\right_2019_04_29_09_46_20_063.jpg,0,0,0,7.360589E-06
C:\Users\Dell\Desktop\Self_driving_Data\IMG\center_2019_04_29_09_46_20_132.jpg,C:\Users\Dell\Desktop\Self_driving_Data\IMG\left_2019_04_29_09_46_20_132.jpg,C:\Users\Dell\Desktop\Self_driving_Data\IMG\right_2019_04_29_09_46_20_132.jpg,0,0,0,3.474659E-06
C:\Users\Dell\Desktop\Self_driving_Data\IMG\center_2019_04_29_09_46_20_206.jpg,C:\Users\Dell\Desktop\Self_driving_Data\IMG\left_2019_04_29_09_46_20_206.jpg,C:\Users\Dell\Desktop\Self_driving_Data\IMG\right_2019_04_29_09_46_20_206.jpg,0,0,0,1.586756E-05
C:\Users\Dell\Desktop\Self_driving_Data\IMG\center_2019_04_29_09_46_20_274.jpg,C:\Users\Dell\Desktop\Self_driving_Data\IMG\left_2019_04_29_09_46_20_274.jpg,C:\Users\Dell\Desktop\Self_driving_Data\IMG\right_2019_04_29_09_46_20_274.jpg,0,0,0,1.500261E-05
C:\Users\Dell\Desktop\Self_driving_Data\IMG\center_2019_04_29_09_46_20_341.jpg,C:\Users\Dell\Desktop\Self_driving_Data\IMG\left_2019_04_29_09_46_20_341.jpg,C:\Users\Dell\Desktop\Self_driving_Data\IMG\right_2019_04_29_09_46_20_341.jpg,0,0,0,1.493195E-05
C:\Users\Dell\Desktop\Self_driving_Data\IMG\center_2019_04_29_09_46_20_408.jpg,C:\Users\Dell\Desktop\Self_driving_Data\IMG\left_2019_04_29_09_46_20_408.jpg,C:\Users\Dell\Desktop\Self_driving_Data\IMG\right_2019_04_29_09_46_20_408.jpg,0,0,0,2.135915E-05
